,cap,ini,label,next2Cap,next2T,next2W,nextCap,nextT,nextW,palpite,prev2Cap,prev2T,prev2W,prevCap,prevT,prevW,simb,tipo,word
2767,0,cap,O,min,adj,pobres,min,n,dos,O,min,art,a,0,punc,"""",0,prop,Mï¿½e
2768,min,ncap,O,0,punc,"""",min,adj,pobres,O,0,punc,"""",0,prop,Mï¿½e,alpha,n,dos
2769,min,ncap,O,0,punc,",",0,punc,"""",O,0,prop,Mï¿½e,min,n,dos,alpha,adj,pobres
2770,0,simb,O,0,n,ï¿½,0,punc,",",O,min,n,dos,min,adj,pobres,0,punc,""""
2771,0,simb,O,min,n,verdade,0,n,ï¿½,O,min,adj,pobres,0,punc,"""",0,punc,","
2772,0,ncap,O,0,punc,?,min,n,verdade,O,0,punc,"""",0,punc,",",0,n,ï¿½
2773,min,ncap,O,0,0,0,0,punc,?,O,0,punc,",",0,n,ï¿½,alpha,n,verdade
2774,0,simb,O,0,0,0,0,0,0,O,0,n,ï¿½,min,n,verdade,0,punc,?
2775,0,cap,B_PESSOA,maxmin,v-fin,Dava,0,v-fin,:-,B_PESSOA,0,0,0,0,0,0,0,n,D.Teresa
2776,0,simb,O,min,art,o,maxmin,v-fin,Dava,O,0,0,0,0,n,D.Teresa,0,v-fin,:-
2777,maxmin,cap,O,min,conj-s,que,min,art,o,O,0,n,D.Teresa,0,v-fin,:-,alpha,v-fin,Dava
2778,min,ncap,O,min,n,podia,min,conj-s,que,O,0,v-fin,:-,maxmin,v-fin,Dava,alpha,art,o
2779,min,ncap,O,min,n,aos,min,n,podia,O,maxmin,v-fin,Dava,min,art,o,alpha,conj-s,que
2780,min,ncap,O,min,adv,mais,min,n,aos,O,min,art,o,min,conj-s,que,alpha,n,podia
2781,min,ncap,O,min,adj,pobres,min,adv,mais,O,min,conj-s,que,min,n,podia,alpha,n,aos
2782,min,ncap,O,min,conj-s,porque,min,adj,pobres,O,min,n,podia,min,n,aos,alpha,adv,mais
2783,min,ncap,O,min,n,naquele,min,conj-s,porque,O,min,n,aos,min,adv,mais,alpha,adj,pobres
2784,min,ncap,O,min,n,tempo,min,n,naquele,O,min,adv,mais,min,adj,pobres,alpha,conj-s,porque
2785,min,ncap,O,min,v-fin,havia,min,n,tempo,O,min,adj,pobres,min,conj-s,porque,alpha,n,naquele
2786,min,ncap,O,min,n,fome,min,v-fin,havia,O,min,conj-s,porque,min,n,naquele,alpha,n,tempo
2787,min,ncap,O,0,punc,.,min,n,fome,O,min,n,naquele,min,n,tempo,alpha,v-fin,havia
2788,min,ncap,O,0,0,0,0,punc,.,O,min,n,tempo,min,v-fin,havia,alpha,n,fome
2789,0,simb,O,0,0,0,0,0,0,O,min,v-fin,havia,min,n,fome,0,punc,.
2790,maxmin,cap,O,min,n,saber,min,v-fin,queriam,O,0,0,0,0,0,0,alpha,pron-det,Todos
2791,min,ncap,O,min,adv,quando,min,n,saber,O,0,0,0,maxmin,pron-det,Todos,alpha,v-fin,queriam
2792,min,ncap,O,0,n,ï¿½,min,adv,quando,O,maxmin,pron-det,Todos,min,v-fin,queriam,alpha,n,saber
2793,min,ncap,O,min,conj-s,que,0,n,ï¿½,O,min,v-fin,queriam,min,n,saber,alpha,adv,quando
2794,0,ncap,O,min,pron-pers,eu,min,conj-s,que,O,min,n,saber,min,adv,quando,0,n,ï¿½
2795,min,ncap,O,min,n,metia,min,pron-pers,eu,O,min,adv,quando,0,n,ï¿½,alpha,conj-s,que
2796,min,ncap,O,min,art,a,min,n,metia,O,0,n,ï¿½,min,conj-s,que,alpha,pron-pers,eu
2797,min,ncap,O,min,v-pcp,fornada,min,art,a,O,min,conj-s,que,min,pron-pers,eu,alpha,n,metia
2798,min,ncap,O,min,conj-s,porque,min,v-pcp,fornada,O,min,pron-pers,eu,min,n,metia,alpha,art,a
2799,min,ncap,O,min,pron-pers,eu,min,conj-s,porque,O,min,n,metia,min,art,a,alpha,v-pcp,fornada
2800,min,ncap,O,min,v-fin,dava,min,pron-pers,eu,O,min,art,a,min,v-pcp,fornada,alpha,conj-s,porque
2801,min,ncap,O,0,n,pï¿½o,min,v-fin,dava,O,min,v-pcp,fornada,min,conj-s,porque,alpha,pron-pers,eu
2802,min,ncap,O,min,art,a,0,n,pï¿½o,O,min,conj-s,porque,min,pron-pers,eu,alpha,v-fin,dava
2803,0,ncap,O,min,pron-indp,quem,min,art,a,O,min,pron-pers,eu,min,v-fin,dava,0,n,pï¿½o
2804,min,ncap,O,min,v-fin,precisava,min,pron-indp,quem,O,min,v-fin,dava,0,n,pï¿½o,alpha,art,a
2805,min,ncap,O,0,punc,.,min,v-fin,precisava,O,0,n,pï¿½o,min,art,a,alpha,pron-indp,quem
2806,min,ncap,O,0,0,0,0,punc,.,O,min,art,a,min,pron-indp,quem,alpha,v-fin,precisava
2807,0,simb,O,0,0,0,0,0,0,O,min,pron-indp,quem,min,v-fin,precisava,0,punc,.
2808,maxmin,cap,O,min,art,um,min,adv,sempre,O,0,0,0,0,0,0,alpha,prop,Cozia
2809,min,ncap,O,min,n,bolo,min,art,um,O,0,0,0,maxmin,prop,Cozia,alpha,adv,sempre
2810,min,ncap,O,min,prp,para,min,n,bolo,O,maxmin,prop,Cozia,min,adv,sempre,alpha,art,um
2811,min,ncap,O,min,art,a,min,prp,para,O,min,adv,sempre,min,art,um,alpha,n,bolo
2812,min,ncap,O,0,n,crianï¿½ada,min,art,a,O,min,art,um,min,n,bolo,alpha,prp,para
2813,min,ncap,O,min,conj-c,e,0,n,crianï¿½ada,O,min,n,bolo,min,prp,para,alpha,art,a
2814,0,ncap,O,min,art,uma,min,conj-c,e,O,min,prp,para,min,art,a,0,n,crianï¿½ada
2815,min,ncap,O,min,n,broa,min,art,uma,O,min,art,a,0,n,crianï¿½ada,alpha,conj-c,e
2816,min,ncap,O,min,v-fin,era,min,n,broa,O,0,n,crianï¿½ada,min,conj-c,e,alpha,art,uma
2817,min,ncap,O,min,adv,logo,min,v-fin,era,O,min,conj-c,e,min,art,uma,alpha,n,broa
2818,min,ncap,O,min,n,espatifada,min,adv,logo,O,min,art,uma,min,n,broa,alpha,v-fin,era
2819,min,ncap,O,min,n,no,min,n,espatifada,O,min,n,broa,min,v-fin,era,alpha,adv,logo
2820,min,ncap,O,min,n,forno,min,n,no,O,min,v-fin,era,min,adv,logo,alpha,n,espatifada
2821,min,ncap,O,0,punc,.,min,n,forno,O,min,adv,logo,min,n,espatifada,alpha,n,no
2822,min,ncap,O,0,0,0,0,punc,.,O,min,n,espatifada,min,n,no,alpha,n,forno
2823,0,simb,O,0,0,0,0,0,0,O,min,n,no,min,n,forno,0,punc,.
2824,max,cap,O,min,v-fin,estou,0,n,nï¿½o,O,0,0,0,0,0,0,alpha,conj-c,E
2825,0,ncap,O,min,v-pcp,arrependida,min,v-fin,estou,O,0,0,0,max,conj-c,E,0,n,nï¿½o
2826,min,ncap,O,0,punc,",",min,v-pcp,arrependida,O,max,conj-c,E,0,n,nï¿½o,alpha,v-fin,estou
2827,min,ncap,O,min,adv,ainda,0,punc,",",O,0,n,nï¿½o,min,v-fin,estou,alpha,v-pcp,arrependida
2828,0,simb,O,0,n,cï¿½,min,adv,ainda,O,min,v-fin,estou,min,v-pcp,arrependida,0,punc,","
2829,min,ncap,O,min,v-fin,fica,0,n,cï¿½,O,min,v-pcp,arrependida,0,punc,",",alpha,adv,ainda
2830,0,ncap,O,min,adv,muito,min,v-fin,fica,O,0,punc,",",min,adv,ainda,0,n,cï¿½
2831,min,ncap,O,0,punc,.,min,adv,muito,O,min,adv,ainda,0,n,cï¿½,alpha,v-fin,fica
2832,min,ncap,O,0,0,0,0,punc,.,O,0,n,cï¿½,min,v-fin,fica,alpha,adv,muito
2833,0,simb,O,0,0,0,0,0,0,O,min,v-fin,fica,min,adv,muito,0,punc,.
2834,maxmin,cap,O,min,n,esmolas,min,art,as,O,0,0,0,0,0,0,alpha,conj-s,Se
2835,min,ncap,O,min,v-inf,valerem,min,n,esmolas,O,0,0,0,maxmin,conj-s,Se,alpha,art,as
2836,min,ncap,O,0,punc,",",min,v-inf,valerem,O,maxmin,conj-s,Se,min,art,as,alpha,n,esmolas
2837,min,ncap,O,min,pron-pers,eu,0,punc,",",O,min,art,as,min,n,esmolas,alpha,v-inf,valerem
2838,0,simb,O,min,n,tenho,min,pron-pers,eu,O,min,n,esmolas,min,v-inf,valerem,0,punc,","
2839,min,ncap,O,0,n,lï¿½,min,n,tenho,O,min,v-inf,valerem,0,punc,",",alpha,pron-pers,eu
2840,min,ncap,O,min,pron-det,algumas,0,n,lï¿½,O,0,punc,",",min,pron-pers,eu,alpha,n,tenho
2841,0,ncap,O,0,punc,.,min,pron-det,algumas,O,min,pron-pers,eu,min,n,tenho,0,n,lï¿½
2842,min,ncap,O,0,0,0,0,punc,.,O,min,n,tenho,0,n,lï¿½,alpha,pron-det,algumas
2843,0,simb,O,0,0,0,0,0,0,O,0,n,lï¿½,min,pron-det,algumas,0,punc,.
2844,maxmin,cap,O,0,punc,-,0,punc,:,O,0,0,0,0,0,0,alpha,n,Professora
2845,0,simb,O,0,n,D.Teresa,0,punc,-,O,0,0,0,maxmin,n,Professora,0,punc,:
2846,0,simb,O,min,v-fin,foi,0,n,D.Teresa,O,maxmin,n,Professora,0,punc,:,0,punc,-
2847,0,cap,B_PESSOA,min,adv,muito,min,v-fin,foi,B_PESSOA,0,punc,:,0,punc,-,0,n,D.Teresa
2848,min,ncap,O,min,adj,bom,min,adv,muito,O,0,punc,-,0,n,D.Teresa,alpha,v-fin,foi
2849,min,ncap,O,min,v-inf,conversar,min,adj,bom,O,0,n,D.Teresa,min,v-fin,foi,alpha,adv,muito
2850,min,ncap,O,min,n,consigo,min,v-inf,conversar,O,min,v-fin,foi,min,adv,muito,alpha,adj,bom
2851,min,ncap,O,0,punc,",",min,n,consigo,O,min,adv,muito,min,adj,bom,alpha,v-inf,conversar
2852,min,ncap,O,0,n,atï¿½,0,punc,",",O,min,adj,bom,min,v-inf,conversar,alpha,n,consigo
2853,0,simb,O,min,art,um,0,n,atï¿½,O,min,v-inf,conversar,min,n,consigo,0,punc,","
2854,0,ncap,O,min,n,dia,min,art,um,O,min,n,consigo,0,punc,",",0,n,atï¿½
2855,min,ncap,O,min,n,deste,min,n,dia,O,0,punc,",",0,n,atï¿½,alpha,art,um
2856,min,ncap,O,min,conj-c,e,min,n,deste,O,0,n,atï¿½,min,art,um,alpha,n,dia
2857,min,ncap,O,min,v-pcp,obrigada,min,conj-c,e,O,min,art,um,min,n,dia,alpha,n,deste
2858,min,ncap,O,0,punc,.,min,v-pcp,obrigada,O,min,n,dia,min,n,deste,alpha,conj-c,e
2859,min,ncap,O,0,0,0,0,punc,.,O,min,n,deste,min,conj-c,e,alpha,v-pcp,obrigada
2860,0,simb,O,0,0,0,0,0,0,O,min,conj-c,e,min,v-pcp,obrigada,0,punc,.
2861,0,cap,B_PESSOA,maxmin,in,Adeus,0,v-fin,:-,B_PESSOA,0,0,0,0,0,0,0,n,D.Teresa
2862,0,simb,O,min,n,senhora,maxmin,in,Adeus,O,0,0,0,0,n,D.Teresa,0,v-fin,:-
2863,maxmin,cap,O,min,n,professora,min,n,senhora,O,0,n,D.Teresa,0,v-fin,:-,alpha,in,Adeus
2864,min,ncap,O,0,punc,.,min,n,professora,O,0,v-fin,:-,maxmin,in,Adeus,alpha,n,senhora
2865,min,ncap,O,0,0,0,0,punc,.,O,maxmin,in,Adeus,min,n,senhora,alpha,n,professora
2866,0,simb,O,0,0,0,0,0,0,O,min,n,senhora,min,n,professora,0,punc,.
2867,maxmin,cap,O,min,n,meninos,min,pron-det,meus,O,0,0,0,0,0,0,alpha,in,Adeus
2868,min,ncap,O,min,adj,azadinhos,min,n,meninos,O,0,0,0,maxmin,in,Adeus,alpha,pron-det,meus
2869,min,ncap,O,0,punc,.,min,adj,azadinhos,O,maxmin,in,Adeus,min,pron-det,meus,alpha,n,meninos
2870,min,ncap,O,0,0,0,0,punc,.,O,min,pron-det,meus,min,n,meninos,alpha,adj,azadinhos
2871,0,simb,O,0,0,0,0,0,0,O,min,n,meninos,min,adj,azadinhos,0,punc,.
2872,0,cap,O,min,v-fin,quiserem,min,adv,quando,O,0,0,0,0,0,0,0,n,Atï¿½
2873,min,ncap,O,0,punc,.,min,v-fin,quiserem,O,0,0,0,0,n,Atï¿½,alpha,adv,quando
2874,min,ncap,O,0,0,0,0,punc,.,O,0,n,Atï¿½,min,adv,quando,alpha,v-fin,quiserem
2875,0,simb,O,0,0,0,0,0,0,O,min,adv,quando,min,v-fin,quiserem,0,punc,.
2876,max,cap,O,min,v-fin,deu,0,n,D.Teresa,O,0,0,0,0,0,0,alpha,art,A
2877,0,cap,B_PESSOA,0,n,ï¿½,min,v-fin,deu,B_PESSOA,0,0,0,max,art,A,0,n,D.Teresa
2878,min,ncap,O,0,prop,Mï¿½nica,0,n,ï¿½,O,max,art,A,0,n,D.Teresa,alpha,v-fin,deu
2879,0,ncap,O,min,art,uma,0,prop,Mï¿½nica,O,0,n,D.Teresa,min,v-fin,deu,0,n,ï¿½
2880,0,cap,B_PESSOA,min,n,moeda,min,art,uma,O,min,v-fin,deu,0,n,ï¿½,0,prop,Mï¿½nica
2881,min,ncap,O,min,prp,de,min,n,moeda,O,0,n,ï¿½,0,prop,Mï¿½nica,alpha,art,uma
2882,min,ncap,O,0,num,20$00,min,prp,de,O,0,prop,Mï¿½nica,min,art,uma,alpha,n,moeda
2883,min,ncap,O,min,prp,para,0,num,20$00,O,min,art,uma,min,n,moeda,alpha,prp,de
2884,0,simb,B_VALOR,min,v-inf,deitar,min,prp,para,O,min,n,moeda,min,prp,de,0,num,20$00
2885,min,ncap,O,min,n,nas,min,v-inf,deitar,O,min,prp,de,0,num,20$00,alpha,prp,para
2886,min,ncap,O,maxmin,n,Alminhas,min,n,nas,O,0,num,20$00,min,prp,para,alpha,v-inf,deitar
2887,min,ncap,O,0,punc,.,maxmin,n,Alminhas,O,min,prp,para,min,v-inf,deitar,alpha,n,nas
2888,maxmin,cap,B_LOCAL,0,0,0,0,punc,.,B_LOCAL,min,v-inf,deitar,min,n,nas,alpha,n,Alminhas
2889,0,simb,O,0,0,0,0,0,0,O,min,n,nas,maxmin,n,Alminhas,0,punc,.
2890,0,cap,O,min,n,escola,0,n,ï¿½,O,0,0,0,0,0,0,0,v-fin,Regressï¿½mos
2891,0,ncap,O,min,adv,muito,min,n,escola,O,0,0,0,0,v-fin,Regressï¿½mos,0,n,ï¿½
2892,min,ncap,O,min,adv,mais,min,adv,muito,O,0,v-fin,Regressï¿½mos,0,n,ï¿½,alpha,n,escola
2893,min,ncap,O,min,adj,ricos,min,adv,mais,O,0,n,ï¿½,min,n,escola,alpha,adv,muito
2894,min,ncap,O,min,conj-c,e,min,adj,ricos,O,min,n,escola,min,adv,muito,alpha,adv,mais
2895,min,ncap,O,min,n,deveras,min,conj-c,e,O,min,adv,muito,min,adv,mais,alpha,adj,ricos
2896,min,ncap,O,min,n,entusiasmados,min,n,deveras,O,min,adv,mais,min,adj,ricos,alpha,conj-c,e
2897,min,ncap,O,min,prp,com,min,n,entusiasmados,O,min,adj,ricos,min,conj-c,e,alpha,n,deveras
2898,min,ncap,O,0,n,tï¿½o,min,prp,com,O,min,conj-c,e,min,n,deveras,alpha,n,entusiasmados
2899,min,ncap,O,min,adj,belo,0,n,tï¿½o,O,min,n,deveras,min,n,entusiasmados,alpha,prp,com
2900,0,ncap,O,min,n,testemunho,min,adj,belo,O,min,n,entusiasmados,min,prp,com,0,n,tï¿½o
2901,min,ncap,O,min,prp,de,min,n,testemunho,O,min,prp,com,0,n,tï¿½o,alpha,adj,belo
2902,min,ncap,O,min,n,vida,min,prp,de,O,0,n,tï¿½o,min,adj,belo,alpha,n,testemunho
2903,min,ncap,O,0,punc,.,min,n,vida,O,min,adj,belo,min,n,testemunho,alpha,prp,de
2904,min,ncap,O,0,0,0,0,punc,.,O,min,n,testemunho,min,prp,de,alpha,n,vida
2905,0,simb,O,0,0,0,0,0,0,O,min,prp,de,min,n,vida,0,punc,.
2906,maxmin,cap,O,min,v-inf,registar,0,n,entï¿½o,O,0,0,0,0,0,0,alpha,v-fin,Resolvemos
2907,0,ncap,O,0,punc,",",min,v-inf,registar,O,0,0,0,maxmin,v-fin,Resolvemos,0,n,entï¿½o
2908,min,ncap,O,min,n,fazendo,0,punc,",",O,maxmin,v-fin,Resolvemos,0,n,entï¿½o,alpha,v-inf,registar
2909,0,simb,O,0,prop,HISTï¿½RIA!....,min,n,fazendo,O,0,n,entï¿½o,min,v-inf,registar,0,punc,","
2910,min,ncap,O,0,0,0,0,prop,HISTï¿½RIA!....,O,min,v-inf,registar,0,punc,",",alpha,n,fazendo
2911,0,cap,O,0,0,0,0,0,0,O,0,punc,",",min,n,fazendo,0,prop,HISTï¿½RIA!....
2912,maxmin,cap,O,min,v-fin,ficou,min,n,trabalho,O,0,0,0,0,0,0,alpha,pron-det,Este
2913,min,ncap,O,min,v-pcp,classificado,min,v-fin,ficou,O,0,0,0,maxmin,pron-det,Este,alpha,n,trabalho
2914,min,ncap,O,min,prp,em,min,v-pcp,classificado,O,maxmin,pron-det,Este,min,n,trabalho,alpha,v-fin,ficou
2915,min,ncap,O,min,adj,terceiro,min,prp,em,O,min,n,trabalho,min,v-fin,ficou,alpha,v-pcp,classificado
2916,min,ncap,O,min,n,lugar,min,adj,terceiro,O,min,v-fin,ficou,min,v-pcp,classificado,alpha,prp,em
2917,min,ncap,O,min,n,no,min,n,lugar,O,min,v-pcp,classificado,min,prp,em,alpha,adj,terceiro
2918,min,ncap,O,min,n,concurso,min,n,no,O,min,prp,em,min,adj,terceiro,alpha,n,lugar
2919,min,ncap,O,min,v-pcp,promovido,min,n,concurso,O,min,adj,terceiro,min,n,lugar,alpha,n,no
2920,min,ncap,O,min,n,pela,min,v-pcp,promovido,O,min,n,lugar,min,n,no,alpha,n,concurso
2921,min,ncap,O,0,n,Cï¿½mara,min,n,pela,O,min,n,no,min,n,concurso,alpha,v-pcp,promovido
2922,min,ncap,O,maxmin,adj,Municipal,0,n,Cï¿½mara,O,min,n,concurso,min,v-pcp,promovido,alpha,n,pela
2923,0,cap,B_ORGANIZACAO,min,prp,de,maxmin,adj,Municipal,B_ORGANIZACAO,min,v-pcp,promovido,min,n,pela,0,n,Cï¿½mara
2924,maxmin,cap,I_ORGANIZACAO,maxmin,n,Montalegre,min,prp,de,O,min,n,pela,0,n,Cï¿½mara,alpha,adj,Municipal
2925,min,ncap,I_ORGANIZACAO,0,punc,",",maxmin,n,Montalegre,O,0,n,Cï¿½mara,maxmin,adj,Municipal,alpha,prp,de
2926,maxmin,cap,I_ORGANIZACAO,min,n,subordinado,0,punc,",",O,maxmin,adj,Municipal,min,prp,de,alpha,n,Montalegre
2927,0,simb,O,min,prp,ao,min,n,subordinado,O,min,prp,de,maxmin,n,Montalegre,0,punc,","
2928,min,ncap,O,min,n,tema,min,prp,ao,O,maxmin,n,Montalegre,0,punc,",",alpha,n,subordinado
2929,min,ncap,O,0,punc,"""",min,n,tema,O,0,punc,",",min,n,subordinado,alpha,prp,ao
2930,min,ncap,O,maxmin,prop,Natal,0,punc,"""",O,min,n,subordinado,min,prp,ao,alpha,n,tema
2931,0,simb,O,0,prop,Barrosï¿½o,maxmin,prop,Natal,O,min,prp,ao,min,n,tema,0,punc,""""
2932,maxmin,cap,O,0,punc,"""",0,prop,Barrosï¿½o,B_PESSOA,min,n,tema,0,punc,"""",alpha,prop,Natal
2933,0,cap,O,0,punc,.,0,punc,"""",I_PESSOA,0,punc,"""",maxmin,prop,Natal,0,prop,Barrosï¿½o
2934,0,simb,O,0,0,0,0,punc,.,O,maxmin,prop,Natal,0,prop,Barrosï¿½o,0,punc,""""
2935,0,simb,O,0,0,0,0,0,0,O,0,prop,Barrosï¿½o,0,punc,"""",0,punc,.
2936,maxmin,cap,O,min,art,o,0,n,ï¿½,O,0,0,0,0,0,0,alpha,pron-det,Qual
2937,0,ncap,O,min,pron-det,seu,min,art,o,O,0,0,0,maxmin,pron-det,Qual,0,n,ï¿½
2938,min,ncap,O,min,n,nome,min,pron-det,seu,O,maxmin,pron-det,Qual,0,n,ï¿½,alpha,art,o
2939,min,ncap,O,min,conj-c,e,min,n,nome,O,0,n,ï¿½,min,art,o,alpha,pron-det,seu
2940,min,ncap,O,min,art,a,min,conj-c,e,O,min,art,o,min,pron-det,seu,alpha,n,nome
2941,min,ncap,O,min,pron-det,sua,min,art,a,O,min,pron-det,seu,min,n,nome,alpha,conj-c,e
2942,min,ncap,O,min,n,data,min,pron-det,sua,O,min,n,nome,min,conj-c,e,alpha,art,a
2943,min,ncap,O,min,prp,de,min,n,data,O,min,conj-c,e,min,art,a,alpha,pron-det,sua
2944,min,ncap,O,min,n,nascimento,min,prp,de,O,min,art,a,min,pron-det,sua,alpha,n,data
2945,min,ncap,O,0,punc,?,min,n,nascimento,O,min,pron-det,sua,min,n,data,alpha,prp,de
2946,min,ncap,O,0,0,0,0,punc,?,O,min,n,data,min,prp,de,alpha,n,nascimento
2947,0,simb,O,0,0,0,0,0,0,O,min,prp,de,min,n,nascimento,0,punc,?
2948,maxmin,cap,B_PESSOA,min,v-pcp,da,maxmin,prop,Maria,B_PESSOA,0,0,0,0,0,0,alpha,n,Paula
2949,maxmin,cap,I_PESSOA,maxmin,prop,Silva,min,v-pcp,da,I_PESSOA,0,0,0,maxmin,n,Paula,alpha,prop,Maria
2950,min,ncap,I_PESSOA,maxmin,prop,Anjo,maxmin,prop,Silva,I_PESSOA,maxmin,n,Paula,maxmin,prop,Maria,alpha,v-pcp,da
2951,maxmin,cap,I_PESSOA,0,punc,.,maxmin,prop,Anjo,I_PESSOA,maxmin,prop,Maria,min,v-pcp,da,alpha,prop,Silva
2952,maxmin,cap,I_PESSOA,0,0,0,0,punc,.,I_PESSOA,min,v-pcp,da,maxmin,prop,Silva,alpha,prop,Anjo
2953,0,simb,O,0,0,0,0,0,0,O,maxmin,prop,Silva,maxmin,prop,Anjo,0,punc,.
2954,maxmin,cap,O,maxmin,prop,Angola,min,prp,em,O,0,0,0,0,0,0,alpha,prop,Nasci
2955,min,ncap,O,0,punc,",",maxmin,prop,Angola,O,0,0,0,maxmin,prop,Nasci,alpha,prp,em
2956,maxmin,cap,B_LOCAL,min,art,a,0,punc,",",B_LOCAL,maxmin,prop,Nasci,min,prp,em,alpha,prop,Angola
2957,0,simb,O,0,num,2,min,art,a,O,min,prp,em,maxmin,prop,Angola,0,punc,","
2958,min,ncap,O,min,prp,de,0,num,2,O,maxmin,prop,Angola,0,punc,",",alpha,art,a
2959,0,simb,B_TEMPO,maxmin,n,Junho,min,prp,de,B_TEMPO,0,punc,",",min,art,a,num,num,2
2960,min,ncap,I_TEMPO,min,prp,de,maxmin,n,Junho,I_TEMPO,min,art,a,0,num,2,alpha,prp,de
2961,maxmin,cap,I_TEMPO,0,num,1968,min,prp,de,I_TEMPO,0,num,2,min,prp,de,alpha,n,Junho
2962,min,ncap,I_TEMPO,0,punc,.,0,num,1968,I_TEMPO,min,prp,de,maxmin,n,Junho,alpha,prp,de
2963,0,simb,I_TEMPO,0,0,0,0,punc,.,I_TEMPO,maxmin,n,Junho,min,prp,de,num,num,1968
2964,0,simb,O,0,0,0,0,0,0,O,min,prp,de,0,num,1968,0,punc,.
2965,maxmin,cap,O,min,n,dos,min,n,nomes,O,0,0,0,0,0,0,alpha,art,Os
2966,min,ncap,O,min,pron-det,seus,min,n,dos,O,0,0,0,maxmin,art,Os,alpha,n,nomes
2967,min,ncap,O,min,n,pais,min,pron-det,seus,O,maxmin,art,Os,min,n,nomes,alpha,n,dos
2968,min,ncap,O,0,punc,?,min,n,pais,O,min,n,nomes,min,n,dos,alpha,pron-det,seus
2969,min,ncap,O,0,0,0,0,punc,?,O,min,n,dos,min,pron-det,seus,alpha,n,pais
2970,0,simb,O,0,0,0,0,0,0,O,min,pron-det,seus,min,n,pais,0,punc,?
2971,max,cap,O,min,n,pai,min,pron-det,meu,O,0,0,0,0,0,0,alpha,art,O
2972,min,ncap,O,0,n,ï¿½,min,n,pai,O,0,0,0,max,art,O,alpha,pron-det,meu
2973,min,ncap,O,maxmin,n,Modesto,0,n,ï¿½,O,max,art,O,min,pron-det,meu,alpha,n,pai
2974,0,ncap,O,maxmin,n,Moreira,maxmin,n,Modesto,O,min,pron-det,meu,min,n,pai,0,n,ï¿½
2975,maxmin,cap,B_PESSOA,maxmin,prop,Anjo,maxmin,n,Moreira,O,min,n,pai,0,n,ï¿½,alpha,n,Modesto
2976,maxmin,cap,I_PESSOA,min,conj-c,e,maxmin,prop,Anjo,B_PESSOA,0,n,ï¿½,maxmin,n,Modesto,alpha,n,Moreira
2977,maxmin,cap,I_PESSOA,min,art,a,min,conj-c,e,I_PESSOA,maxmin,n,Modesto,maxmin,n,Moreira,alpha,prop,Anjo
2978,min,ncap,O,min,pron-det,minha,min,art,a,O,maxmin,n,Moreira,maxmin,prop,Anjo,alpha,conj-c,e
2979,min,ncap,O,0,n,mï¿½e,min,pron-det,minha,O,maxmin,prop,Anjo,min,conj-c,e,alpha,art,a
2980,min,ncap,O,0,n,ï¿½,0,n,mï¿½e,O,min,conj-c,e,min,art,a,alpha,pron-det,minha
2981,0,ncap,O,maxmin,prop,Maria,0,n,ï¿½,O,min,art,a,min,pron-det,minha,0,n,mï¿½e
2982,0,ncap,O,min,prp,de,maxmin,prop,Maria,O,min,pron-det,minha,0,n,mï¿½e,0,n,ï¿½
2983,maxmin,cap,B_PESSOA,maxmin,prop,Lurdes,min,prp,de,B_PESSOA,0,n,mï¿½e,0,n,ï¿½,alpha,prop,Maria
2984,min,ncap,I_PESSOA,maxmin,prop,Carlos,maxmin,prop,Lurdes,I_PESSOA,0,n,ï¿½,maxmin,prop,Maria,alpha,prp,de
2985,maxmin,cap,I_PESSOA,maxmin,prop,Silva,maxmin,prop,Carlos,I_PESSOA,maxmin,prop,Maria,min,prp,de,alpha,prop,Lurdes
2986,maxmin,cap,I_PESSOA,maxmin,prop,Anjo,maxmin,prop,Silva,I_PESSOA,min,prp,de,maxmin,prop,Lurdes,alpha,prop,Carlos
2987,maxmin,cap,I_PESSOA,0,punc,.,maxmin,prop,Anjo,I_PESSOA,maxmin,prop,Lurdes,maxmin,prop,Carlos,alpha,prop,Silva
2988,maxmin,cap,I_PESSOA,0,0,0,0,punc,.,I_PESSOA,maxmin,prop,Carlos,maxmin,prop,Silva,alpha,prop,Anjo
2989,0,simb,O,0,0,0,0,0,0,O,maxmin,prop,Silva,maxmin,prop,Anjo,0,punc,.
2990,maxmin,cap,O,0,punc,?,0,n,irmï¿½os,O,0,0,0,0,0,0,alpha,v-fin,Tem
2991,0,ncap,O,0,0,0,0,punc,?,O,0,0,0,maxmin,v-fin,Tem,0,n,irmï¿½os
2992,0,simb,O,0,0,0,0,0,0,O,maxmin,v-fin,Tem,0,n,irmï¿½os,0,punc,?
2993,maxmin,cap,O,0,n,irmï¿½os,min,num,quatro,O,0,0,0,0,0,0,alpha,v-fin,Tenho
2994,min,ncap,O,0,punc,.,0,n,irmï¿½os,O,0,0,0,maxmin,v-fin,Tenho,alpha,num,quatro
2995,0,ncap,O,0,0,0,0,punc,.,O,maxmin,v-fin,Tenho,min,num,quatro,0,n,irmï¿½os
2996,0,simb,O,0,0,0,0,0,0,O,min,num,quatro,0,n,irmï¿½os,0,punc,.
2997,0,cap,O,min,conj-c,e,min,n,rapazes,O,0,0,0,0,0,0,0,n,Trï¿½s
2998,min,ncap,O,min,art,uma,min,conj-c,e,O,0,0,0,0,n,Trï¿½s,alpha,n,rapazes
